"";"ProbeName";"GeneName";"logFC_LWT_MCD-LWT_CTRL";"logFC_LKO_MCD-LKO_CTRL";"logFC_LKO_CTRL-LWT_CTRL"
"25";"A_51_P261999";"2410075B13Rik";"-0.9138";"-0.5041";"-0.5929"
"26";"A_55_P2185821";"Cyp3a13";"-1.3328";"-0.7630";"-0.7453"
"27";"A_55_P2081761";"TC1656376";"-1.4352";"-0.6910";"-0.7797"
"28";"A_51_P219505";"Slc41a2";"-2.6519";"-1.6613";"-1.1695"
"29";"A_55_P2017413";"Gm4788";"-1.7210";"-1.2185";"-0.4742"
"30";"A_55_P2050902";"Fetub";"-0.6818";"-0.3014";"-0.4424"
"31";"A_55_P1992889";"Serping1";"-1.1049";"-0.7148";"-0.4968"
"32";"A_65_P03728";"St3gal1";"-1.3093";"-0.6576";"-0.5610"
"33";"A_30_P01025420";"chr15:86035939-86042539_R";"-1.0732";"-0.3683";"-0.7651"
"34";"A_55_P2105100";"Lrig1";"-1.3214";"-0.6846";"-0.7677"
"35";"A_55_P1954698";"Gm2788";"-1.9292";"-0.6351";"-0.9093"
"36";"A_51_P376238";"Serping1";"-1.2638";"-0.7605";"-0.6133"
"37";"A_55_P2123381";"Fga";"-2.4908";"-1.2877";"-1.3091"
"38";"A_55_P1964717";"Gm10398";"-1.0255";"-0.3946";"-0.6069"
"39";"A_30_P01025231";"chr1:193755364-193770539_R";"-0.4651";"-0.2991";"-0.2299"
"40";"A_51_P361448";"Scara5";"-3.8654";"-2.1341";"-1.7311"
"41";"A_30_P01030818";"chr1:71730139-71730720_F";"-1.0542";"-0.4333";"-0.5931"
"42";"A_30_P01017746";"chr8:119732348-119749198_F";"-1.5264";"-0.6113";"-0.9563"
"43";"A_51_P155323";"Hc";"-0.8844";"-0.6307";"-0.3727"
"44";"A_55_P1957937";"ENSMUST00000092602";"-0.6113";"-0.2015";"-0.3576"
"45";"A_55_P1995442";"NAP061540-1";"-0.7587";"-0.3556";"-0.4453"
"46";"A_55_P2130256";"Polr2l";"-1.2022";"-0.6227";"-0.5048"
"47";"A_30_P01030534";"chr1:71984564-71985074_R";"-1.1858";"-0.7003";"-0.5783"
"48";"A_51_P493987";"Moxd1";"-8.3372";"-6.8891";"-1.8058"
"49";"A_30_P01021141";"chr1:141824450-141835125_F";"-1.6216";"-1.1534";"-0.6568"
"50";"A_52_P17112";"Znrf1";"-0.8615";"-0.3969";"-0.4425"
"51";"A_30_P01028695";"chr8:119732348-119749198_F";"-1.5731";"-0.5646";"-1.0169"
"52";"A_52_P552194";"Il13ra1";"-1.0376";"-0.4369";"-0.7055"
"53";"A_55_P1959064";"Oas1b";"-0.9776";"-0.3815";"-0.5529"
"54";"A_55_P2017418";"Cfh";"-1.9657";"-1.3131";"-0.8472"
"55";"A_30_P01026233";"chr8:119739165-119739905_F";"-1.6247";"-0.7019";"-0.9832"
"56";"A_52_P190405";"Ifnar2";"-0.4990";"-0.2980";"-0.2274"
"57";"A_66_P124052";"Bok";"-0.9292";"-0.6639";"-0.5527"
"58";"A_51_P262144";"Ddx19b";"-0.8649";"-0.5907";"-0.3539"
"59";"A_52_P593268";"Lsm6";"-1.1606";"-0.7764";"-0.3867"
"60";"A_55_P1971074";"Atp11a";"-2.6533";"-1.2504";"-1.4986"
"61";"A_55_P2347756";"AU040972";"-1.1754";"-0.8189";"-0.4630"
"62";"A_55_P2078633";"C4b";"-0.6095";"-0.2962";"-0.3961"
"63";"A_55_P2185826";"Cyp3a13";"-1.7536";"-0.7764";"-1.0025"
"64";"A_52_P662013";"Plg";"-0.4861";"-0.2741";"-0.2700"
"65";"A_55_P2067266";"A_55_P2067266";"-1.0169";"-0.6419";"-0.4067"
"66";"A_30_P01019675";"chr1:141824450-141835125_F";"-1.3929";"-0.7800";"-0.6622"
"67";"A_30_P01020557";"chr6:129151512-129208737_R";"-0.3876";"-0.1882";"-0.2415"
"68";"A_55_P2096166";"A_55_P2096166";"-0.9924";"-0.6633";"-0.3062"
"69";"A_30_P01018352";"chr17:3103174-3114885_F";"-0.8068";"-0.4150";"-0.3632"
"70";"A_30_P01028019";"chr3:36280098-36347798_F";"-1.2586";"-0.4121";"-0.5866"
"71";"A_52_P316474";"St3gal4";"-0.7228";"-0.2553";"-0.5742"
"72";"A_30_P01030976";"chrX:102567595-102589870_F";"-0.6116";"-0.2699";"-0.4385"
"73";"A_52_P418665";"Ttpal";"-0.8458";"-0.4771";"-0.4286"
"74";"A_55_P2075195";"Cd302";"-1.0104";"-0.6073";"-0.5028"
"75";"A_52_P300445";"Atp4a";"-1.6635";"-0.6373";"-0.9821"
"76";"A_51_P262701";"Cpb2";"-1.1348";"-0.7136";"-0.5611"
"77";"A_55_P1981992";"A_55_P1981992";"-1.5472";"-1.1673";"-0.3912"
"78";"A_55_P2408848";"Lgr4";"-0.7321";"-0.4225";"-0.3939"
"79";"A_55_P1979674";"Ikzf4";"-1.5834";"-0.6417";"-0.9796"
"80";"A_51_P170562";"Cpn2";"-0.6986";"-0.4258";"-0.4377"
"81";"A_51_P159612";"Hebp2";"-1.3815";"-0.6596";"-0.8280"
"82";"A_30_P01026116";"chr1:71939741-71947891_F";"-1.2751";"-0.6455";"-0.8715"
"83";"A_55_P2041693";"A_55_P2041693";"-1.4404";"-0.9680";"-0.3977"
"84";"A_55_P2017929";"Clu";"-0.3956";"-0.1883";"-0.2633"
"85";"A_51_P373619";"Mbl1";"-1.2199";"-0.7359";"-0.4152"
"86";"A_30_P01032012";"chr8:119739165-119739905_F";"-1.4598";"-0.5290";"-0.9547"
"87";"A_55_P1987944";"Rai1";"-0.6720";"-0.2963";"-0.3278"
"88";"A_51_P278266";"Gltpd2";"-1.0247";"-0.6994";"-0.3166"
"89";"A_51_P484054";"F7";"-0.8267";"-0.4770";"-0.4426"
"90";"A_30_P01018462";"chr8:119732348-119749198_F";"-1.5244";"-0.6190";"-0.9346"
"91";"A_30_P01021751";"chr8:119732348-119749198_F";"-1.5606";"-0.6739";"-0.9004"
"92";"A_51_P401343";"Cldn14";"-1.2635";"-0.6318";"-0.6501"
"93";"A_30_P01021837";"chr11:117768049-117807949_R";"-1.4516";"-0.4469";"-0.9318"
"94";"A_55_P1971076";"Atp11a";"-2.2301";"-1.0825";"-1.4084"
"95";"A_30_P01018133";"chr1:71939741-71947891_F";"-1.4101";"-0.6190";"-0.8964"
"96";"A_30_P01019546";"chr1:141824450-141835125_F";"-1.6742";"-1.1668";"-0.7831"
"97";"A_30_P01021994";"chr19:6891117-6891594_R";"-0.6441";"-0.2869";"-0.3158"
"98";"A_30_P01027939";"chr1:71939741-71947891_F";"-1.3959";"-0.5262";"-0.9415"
"99";"A_51_P271503";"Il1r1";"-2.1563";"-1.0239";"-1.2206"
"100";"A_51_P271439";"Fam59a";"-1.0702";"-0.3218";"-0.7172"
"101";"A_55_P1983921";"Crybb3";"-3.3031";"-1.0681";"-2.4805"
"102";"A_51_P393426";"Pros1";"-1.0453";"-0.3774";"-0.6798"
"103";"A_55_P2114110";"Cadm4";"-2.5500";"-1.9768";"-0.6351"
"104";"A_55_P2167025";"Pvrl2";"-1.0864";"-0.4313";"-0.5655"
"105";"A_30_P01025839";"chr8:119732348-119749198_F";"-1.7250";"-0.6165";"-1.0257"
"106";"A_55_P2046220";"Olfr740";"-0.9528";"-0.5009";"-0.4486"
"107";"A_55_P2134790";"Qsox1";"-1.0650";"-0.4610";"-0.5567"
"108";"A_55_P2159216";"NAP062849-1";"-1.1535";"-0.8192";"-0.3215"
"109";"A_30_P01026213";"chr1:141824450-141835125_F";"-1.3029";"-0.5851";"-0.6469"
"110";"A_52_P158431";"Tshz2";"-0.9019";"-0.4623";"-0.4429"
"111";"A_55_P2017347";"Krtap11-1";"-2.1502";"-0.8032";"-1.2358"
"112";"A_30_P01032704";"chr1:71984564-71985074_R";"-1.6117";"-1.0733";"-0.7142"
"113";"A_55_P2100655";"Lsm6";"-1.1563";"-0.7839";"-0.3478"
