"Tmem170b";"Tmem170b";"Cyp3a13";""
"Fer1l6";"Fer1l6";"TC1656376";""
"A_55_P1991945";"Pcsk6";"chr14:62263564-62307496_R";""
"Pcsk6";"Thumpd3";"Egln3";""
"Thumpd3";"A_55_P1997585";"chr3:108763862-108772151_F";""
"A_55_P1997585";"Ablim1";"Pip5k1a";""
"Ablim1";"Wipf1";"Acsl5";""
"Wipf1";"BC068281";"Slc41a2";""
"BC068281";"St6gal1";"NAP001637-001";""
"1600014C10Rik";"Clec4b1";"Gm9";""
"St6gal1";"Hbb-y";"Gm4788";""
"NAP108184-1";"Tmem192";"Pnpla7";""
"Clec4b1";"A_55_P2164694";"Fetub";""
"Hbb-y";"Cyp2c29";"chr1:71939741-71947891_R";""
"Tmem192";"Axl";"Agxt2l1";""
"A_55_P2164694";"chr18:47690173-47697423_R";"chr19:56820850-56837925_F";""
"Axl";"chr10:59382822-59383642_R";"Serping1";""
"chr18:47690173-47697423_R";"S100a1";"Notch3";""
"chr10:59382822-59383642_R";"Mageb1";"St3gal1";""
"S100a1";"Acox3";"Ninj1";""
"Nags";"Echdc2";"Txnl4b";""
"A_55_P2081885";"C1qc";"chr15:86035939-86042539_R";""
"Acox3";"Sec63";"A_55_P2011385";""
"Mars2";"Gm5745";"Gm5077";""
"Stat3";"chr14:105508625-105513462_R";"D130043K22Rik";""
"Echdc2";"Duox1";"Lrig1";""
"C1qc";"Lin52";"Cxcl14";""
"chr2:60038543-60046318_F";"Gpr125";"Serpina10";""
"Sec63";"Smarcal1";"Gm2788";""
"Gm5745";"chr2:176610409-176612864_F";"Col18a1";""
"Duox1";"Slc25a4";"Slc37a1";""
"Lin52";"Dctn1";"Serping1";""
"Gpr125";"chr3:146629425-146649125_F";"Cp";""
"Ces1b";"Esyt1";"Tead2";""
"Smarcal1";"Zfyve21";"Olfr1260";""
"Slc25a4";"Lsm14a";"Extl3";""
"Dctn1";"A_66_P135804";"Saa4";""
"chr3:146629425-146649125_F";"NAP093099-001";"Cryl1";""
"Esyt1";"Snrnp48";"chr7:99879368-99889978_R";""
"Lsm14a";"Zbtb5";"Ankrd42";""
"2410091C18Rik";"AK195427";"Fga";""
"A_66_P135804";"chr5:149765314-149771786_R";"Dhrs7";""
"NAP093099-001";"Arl15";"Rab9";""
"Snrnp48";"Smc5";"Cyth3";""
"Zbtb5";"Akap2";"Gm10398";""
"AK195427";"2410006H16Rik";"Smpd1";""
"Arl15";"Zfp174";"Tifa";""
"Smc5";"Psmd7";"Fam13a";""
"Akap2";"Rnf148";"chr1:193755364-193770539_R";""
"2410006H16Rik";"A_55_P2071536";"Aldh3a2";""
"Mob3b";"Hsd3b3";"Scara5";""
"Psmd7";"0610010K14Rik";"chr1:71730139-71730720_F";""
"Rnf148";"Scara3";"chr8:119732348-119749198_F";""
"Stk19";"Shmt2";"chr18:25622407-25635118_R";""
"Capza2";"Donson";"Mest";""
"A_55_P2071536";"Olfr700";"chr18:73870981-73877247_F";""
"Avpi1";"Suv420h2";"Apof";""
"Cpne8";"Dnajc2";"Gm5608";""
"0610010K14Rik";"A_55_P2132697";"Pgrmc2";""
"Scara3";"chr6:100514596-100520846_R";"Hc";""
"Shmt2";"chr7:134369091-134376468_F";"Htra2";""
"Shank3";"Rbbp4";"Cfb";""
"Donson";"AK079976";"Pld1";""
"Olfr700";"Ahctf1";"ENSMUST00000092602";""
"Lphn2";"chr15:77575125-77585575_F";"NAP061540-1";""
"Plod3";"BB014433";"Cplx2";""
"Suv420h2";"Galnt1";"chr13:28477490-28985604_R";""
"Dnajc2";"Rnase10";"chr11:6421951-6429173_R";""
"A_55_P2132697";"1810031K17Rik";"Gimap9";""
"chr6:100514596-100520846_R";"Pef1";"chr16:34524589-34573439_F";""
"Cd38";"Mrps25";"chr7:128341797-128414692_R";""
"chr7:134369091-134376468_F";"F13b";"Polr2l";""
"AK079976";"Asb11";"chr4:59264275-59287850_R";""
"chr15:77575125-77585575_F";"ENSMUST00000050391";"chr2:32950586-32984936_R";""
"Galnt1";"chr9:118291593-118324230_F";"Nipal1";""
"chr1:193875525-193978800_R";"Gm4890";"ENSMUST00000030352";""
"Olfr47";"Eps8";"Gstt3";""
"Rhbdd2";"Ranbp2";"Spc24";""
"chr15:101084597-101095097_R";"A_55_P2036377";"chr1:71984564-71985074_R";""
"1810031K17Rik";"Hira";"Moxd1";""
"Pef1";"ENSMUST00000113496";"Gm6195";""
"Mrps25";"Ndufb5";"chr12:109619407-109619843_F";""
"F13b";"Cntnap1";"chr11:97275905-97310538_F";""
"Asb11";"A_55_P2011341";"chr13:95613081-95640256_F";""
"Gm5921";"Clec4a3";"Fbln2";""
"ENSMUST00000050391";"Fam3a";"Anpep";""
"chr9:118291593-118324230_F";"ENSMUST00000143967";"chr1:141824450-141835125_F";""
"Gm4890";"Olfr868";"Znrf1";""
"Kctd20";"Slc39a11";"chr4:146965675-146979325_R";""
"Eps8";"Cd2";"Slc41a1";""
"A_55_P2036377";"Rad54l";"A_55_P2120706";""
"ENSMUST00000113496";"ENSMUST00000081342";"chr8:122788975-122789224_R";""
"Ndufb5";"Lrrc51";"Steap4";""
"Cntnap1";"Mcc";"BC046404";""
"chr3:37543523-37613073_F";"Zfp74";"ENSMUST00000098144";""
"A_55_P2011341";"Atat1";"chr8:119732348-119749198_F";""
"Clec4a3";"Nde1";"Gsta3";""
"Fam3a";"Pgm1";"S100a9";""
"ENSMUST00000143967";"A_55_P1972448";"Mum1";""
"Olfr868";"chr17:17492400-17507525_R";"Dnajc12";""
"Slc39a11";"Rps8";"Il13ra1";""
"Cd2";"Acap1";"Oas1b";""
"chr6:142915873-142938323_F";"Trps1";"Ces2e";""
"Rad54l";"Lama3";"Cfh";""
"ENSMUST00000081342";"Gm15466";"chr8:119739165-119739905_F";""
"Lrrc51";"Pparg";"Ifnar2";""
"Ldlr";"chr18:82858314-82872414_F";"Tmco4";""
"Mcc";"Zfp429";"Gm8437";""
"Atat1";"Kifc2";"chr15:84737071-84753414_R";""
"Spop";"Mkrn1";"Slc13a2";""
"Nde1";"Ddx18";"chr9:30793551-30817648_R";""
"Pgm1";"Gm11127";"Inmt";""
"A_55_P1972448";"Insr";"P2rx4";""
"chr17:17492400-17507525_R";"Lin7a";"chr14:52874069-52877398_R";""
"Rps8";"chr1:63163019-63164281_F";"4930430F08Rik";""
"Acap1";"Nrg4";"Bok";""
"Trps1";"Cd59b";"D030018L15Rik";""
"Myst1";"chr1:133839368-133839762_F";"Ddx19b";""
"Lama3";"Pgd";"Cpd";""
"Il1a";"AW111846";"Gm527";""
"Pparg";"Rnf185";"chr7:99879368-99889978_F";""
"chr18:82858314-82872414_F";"Akap5";"Abhd6";""
"Kifc2";"Zfp946";"Lsm6";""
"Mkrn1";"Tug1";"Chrna4";""
"Ddx18";"2410089E03Rik";"Atp11a";""
"Gm11127";"Zfp606";"AU040972";""
"Lin7a";"9330151L19Rik";"Plec";""
"chr1:63163019-63164281_F";"Mpp1";"C4b";""
"Nrg4";"Gm9843";"Eppk1";""
"chr1:133839368-133839762_F";"Vapa";"A_55_P1964332";""
"Pgd";"Klk1b26";"Dntt";""
"2310030G06Rik";"Rps27";"Itih4";""
"AW111846";"Cyp2j13";"Mfsd2a";""
"Rnf185";"A_55_P2174524";"Sox17";""
"Zfp606";"1110020G09Rik";"Cyp3a13";""
"9330151L19Rik";"1110001J03Rik";"Plg";""
"Mpp1";"ENSMUST00000103426";"Prg4";""
"Gm9843";"Srsf7";"A_55_P2067266";""
"Mif";"Kif12";"Cyp4a14";""
"Vapa";"AI987944";"chr5:105072936-105074001_F";""
"Rps27";"Orai3";"chr1:141824450-141835125_F";""
"Cyp2j13";"chr2:33496712-33501183_F";"Acaa1b";""
"1110020G09Rik";"chr11:82593102-82594396_R";"Lrp1";""
"1110001J03Rik";"Il10rb";"Lcn2";""
"ENSMUST00000103426";"Slc50a1";"Kng2";""
"Kif1b";"A_55_P2049061";"Il27";""
"Sox9";"Pbk";"Arl8b";""
"Cd55";"Spast";"6330503K22Rik";""
"Kif12";"Hnrnpul1";"Me1";""
"Orai3";"Krtap20-2";"Hpgd";""
"chr2:33496712-33501183_F";"Ptrh1";"chr6:129151512-129208737_R";""
"Zfp773";"Hs3st6";"Timp3";""
"chr11:82593102-82594396_R";"Nat2";"Mtap7d1";""
"ND5";"Pkig";"Usp14";""
"Rgs16";"Ltv1";"A_55_P2096166";""
"Il10rb";"Palmd";"chr4:131734714-131741964_R";""
"Slc50a1";"Syne2";"Gprc5a";""
"A_55_P2049061";"Egln2";"Hsdl2";""
"Pbk";"Tmem91";"chr19:5771425-5848475_F";""
"Spast";"A_55_P1982532";"chr17:3103174-3114885_F";""
"chr2:151992806-152025456_R";"BC004004";"chr5:23349978-23402028_R";""
"Hnrnpul1";"Tpcn1";"Fndc3b";""
"Krtap20-2";"Ssbp1";"Ccdc80";""
"Ptrh1";"Ces1e";"chr3:36280098-36347798_F";""
"Hs3st6";"Selp";"NAP062858-1";""
"Nsmce4a";"chr16:46384974-46391331_R";"Mrap2";""
"Nat2";"Kcnq1";"Slc13a5";""
"Pkig";"ENSMUST00000105072";"Pnp";""
"Ltv1";"A_55_P2046096";"Slc39a14";""
"Palmd";"A_55_P2037689";"Fosl2";""
"Casp14";"Stk11ip";"St3gal4";""
"Setd1a";"Fam165b";"1810059H22Rik";""
"Egln2";"4930432M17Rik";"chrX:102567595-102589870_F";""
"Tmem91";"chr4:126710640-126721240_F";"Ttpal";""
"BC004004";"Nexn";"Gm4285";""
"Casp8";"chr6:47687025-47728525_R";"Mcart1";""
"Tpcn1";"Kynu";"Zfp612";""
"Ssbp1";"Fem1c";"Pkdcc";""
"Foxn2";"Gfm2";"Ccdc50";""
"A_55_P2022663";"BC003266";"Fut1";""
"chr16:46384974-46391331_R";"LOC386400";"chr2:84340904-84408703_R";""
"ENSMUST00000105072";"Uqcr10";"Lrrn3";""
"A_55_P2046096";"Nudt16l1";"Fads2";""
"A_55_P2037689";"Srms";"Esyt2";""
"chr5:144517700-144526071_F";"Spint2";"Gm10639";""
"Stk11ip";"Pclo";"Aldob";""
"Fam165b";"Cep63";"Haus7";""
"4930432M17Rik";"chr14:47978277-47985238_F";"NAP057964-1";""
"Esrp2";"chr16:59557120-59602070_F";"2700081O15Rik";""
"chr6:47687025-47728525_R";"C030048B08Rik";"chr18:61781410-61788685_F";""
"Kynu";"Cacna2d1";"Cd302";""
"Gfm2";"Fbxo17";"1700011H14Rik";""
"Cisd3";"chr1:138570107-138632310_F";"4931440P22Rik";""
"Tmcc2";"Mina";"Mtap4";""
"Ldha";"Cd300ld";"2810442I21Rik";""
"LOC386400";"Gm6340";"Gm19958";""
"Uqcr10";"Batf2";"Atp4a";""
"Nudt16l1";"Plp2";"A_55_P2093770";""
"Creg1";"Ankrd12";"Cpb2";""
"Trat1";"Ncl";"Myo18a";""
"Timm50";"Hdac10";"C2cd2l";""
"Srms";"Ldlrap1";"Rp9";""
"Spint2";"Pid1";"chr14:33923944-34003394_F";""
"Pclo";"Git1";"Mgst3";""
"Cep63";"Aifm3";"Impa2";""
"chr14:47978277-47985238_F";"Tor3a";"A_55_P1981992";""
"ENSMUST00000103343";"Zfp169";"Nnmt";""
"C030048B08Rik";"Sdc1";"Lgr4";""
"Cacna2d1";"Chi3l3";"A_55_P1993121";""
"Slc17a4";"Figf";"Rpa3";""
"Arfgap1";"chr4:129497990-129515290_F";"Elovl5";""
"chr1:138570107-138632310_F";"Fbxl4";"Tmem176b";""
"Mina";"chr12:12768528-12849976_F";"Tspan4";""
"Cd300ld";"Smo";"Jak3";""
"Gm6340";"chr2:128211990-128215223_R";"Ikzf4";""
"Batf2";"Tdg";"chr3:27837825-27880925_F";""
"Plp2";"Vps25";"Me1";""
"Ankrd12";"Tmbim1";"Gm3455";""
"Ncl";"Klhdc5";"Atxn7l3b";""
"Serpina10";"Gm8066";"1810014F10Rik";""
"Hdac10";"4921531C22Rik";"Esrrg";""
"Ccdc97";"chr14:77006215-77063293_R";"Cpn2";""
"Ldlrap1";"P2ry6";"F830014O18Rik";""
"Pid1";"Gusb";"Hebp2";""
"Git1";"Tbxas1";"2410087M07Rik";""
"Aifm3";"Slc25a29";"chr1:71939741-71947891_F";""
"Tor3a";"Rps29";"Egln3";""
"Cd4";"Cops7a";"Abcd3";""
"Gmppa";"Rpsa";"Tnfrsf1a";""
"Chi3l3";"Slc38a9";"Cfi";""
"chr4:131734714-131741964_R";"Mxra8";"Gale";""
"chr18:63525907-63526504_R";"Ptgs1";"chr1:94611439-94613779_R";""
"chr6:83541250-83560425_F";"chr11:95627874-95640824_R";"Nkd2";""
"Figf";"chr4:128727332-128735227_R";"chr10:87541696-87547421_F";""
"chr4:129497990-129515290_F";"chr6:57583950-57624216_F";"chr8:119732348-119749198_R";""
"Bank1";"Abca17";"Tkt";""
"Fbxl4";"Prss8";"Slc13a5";""
"1810046J19Rik";"chr11:102878974-102888924_R";"chr9:56910620-56919495_R";""
"Smo";"Ddx18";"Fgl1";""
"chr2:128211990-128215223_R";"chr11:95483973-95490751_F";"Gsta3";""
"Tdg";"Ttc13";"A_55_P2041693";""
"Vps25";"chr19:57426515-57435165_F";"AI451831";""
"Gjc3";"2310051F07Rik";"Uox";""
"Tmbim1";"BC049265";"chr1:72281533-72299401_R";""
"4921531C22Rik";"Pask";"A_55_P2014149";""
"Atxn10";"A_55_P2168899";"A830035O19Rik";""
"chr14:77006215-77063293_R";"Abca5";"chr5:112539219-112540601_R";""
"P2ry6";"chr11:79552346-79553082_R";"Snx10";""
"Npm1";"P2rx3";"Mtap";""
"Gusb";"Angel1";"Lactb2";""
"Tbxas1";"Tnfrsf14";"C2";""
"Rnf215";"5930433N17Rik";"Clu";""
"Rps29";"5033418A18Rik";"Zfp940";""
"Cops7a";"chrX:34360500-34388500_R";"C3";""
"ENSMUST00000102968";"chr3:30099759-30133959_R";"E2f8";""
"Pdss1";"Bri3";"Tmem176b";""
"Rpsa";"Gm9785";"Rab9";""
"A_55_P2006392";"Polr1a";"B4galt1";""
"A_55_P2082880";"Grpel1";"P2rx4";""
"Slc38a9";"Ptdss2";"A_55_P2126423";""
"Mxra8";"Pcbp2";"Ces2b";""
"NAP113464-1";"A_55_P2125623";"Mbl1";""
"Ptgs1";"Cyp27a1";"Map4k4";""
"Arcn1";"Enc1";"Akr1c19";""
"B130024G19Rik";"Fkbp3";"Fgfr1";""
"Srsf10";"chr7:140016236-140016772_R";"Fabp1";""
"Luc7l2";"Cfhr2";"Wdr67";""
"chr4:128727332-128735227_R";"Apol9a";"Ifi47";""
"1110012J17Rik";"Ndufaf4";"Stap2";""
"Ebna1bp2";"Treh";"chr8:119739165-119739905_F";""
"chr6:57583950-57624216_F";"Ddo";"Wdr45l";""
"Abca17";"A_55_P1963134";"Rai1";""
"Prss8";"A_55_P2015177";"Ces2c";""
"chr11:102878974-102888924_R";"Tomm5";"Pycr1";""
"Ddx18";"chr11:79529699-79530564_F";"Myl9";""
"Ttc13";"Ywhaz";"Gltpd2";""
"chr10:126818382-126856582_R";"Pde9a";"F7";""
"2310051F07Rik";"Ifi27l2b";"chr8:119732348-119749198_F";""
"Arhgef10l";"Tomm40";"chr8:119732348-119749198_F";""
"BC049265";"Dkk3";"Orm2";""
"Pask";"Dab1";"Fam151b";""
"A_55_P2168899";"Frat1";"chrX:165792277-165807952_R";""
"Abca5";"chr14:55433382-55452757_F";"Ces1f";""
"chr11:79552346-79553082_R";"Mapk1";"Cldn14";""
"P2rx3";"Dnajc24";"Saa3";""
"Angel1";"Nkain4";"A_55_P2050044";""
"Myd88";"chr8:26343277-26352902_R";"Rsrc1";""
"A_55_P2063871";"Bag1";"BC025829";""
"KCNQ1ot1";"2310028H24Rik";"chr11:117768049-117807949_R";""
"Tnfrsf14";"Zfyve27";"Fgl1";""
"5930433N17Rik";"Tmem131";"Atp11a";""
"5033418A18Rik";"chr4:59306575-59317850_R";"Mtap7d1";""
"Pik3c2g";"Ccz1";"Abhd6";""
"chr3:30099759-30133959_R";"Mdh1";"chr5:104936417-104984892_R";""
"Os9";"chr6:131263850-131314850_F";"chr1:71939741-71947891_F";""
"Bri3";"Alg14";"Oscar";""
"Grpel1";"Frzb";"S100a8";""
"Ptdss2";"BC020535";"Camkk2";""
"Pcbp2";"Fbxl14";"Itih4";""
"Cyp27a1";"4932439E07Rik";"Pgm5";""
"Enc1";"Atp11b";"chr1:141824450-141835125_F";""
"Fkbp3";"chr14:22267795-22319045_F";"Caprin1";""
"chr7:140016236-140016772_R";"Wdr24";"Hamp2";""
"Cfhr2";"Ctf1";"Osgin2";""
"Apol9a";"Snrnp200";"Mt2";""
"Ndufaf4";"chr9:113233366-113261487_R";"NAP065441-1";""
"chr7:4827340-4863315_R";"NAP022003-001";"A_55_P1986630";""
"Tram2";"Stard6";"Plcb2";""
"Treh";"Csn3";"Fgl1";""
"Ddo";"chr6:86425510-86450160_R";"ENSMUST00000143649";""
"chr4:40720362-40729687_F";"Mrpl24";"chr14:27176652-27227602_F";""
"A_55_P1963134";"Tfrc";"B3galt1";""
"A_55_P2015177";"chr3:18521534-18522194_R";"Olfr1077-ps1";""
"AK036053";"Soat1";"Vwf";""
"Fgfr2";"chr15:102920547-102933472_R";"C4bp";""
"Tomm5";"8030494B02Rik";"Cyp2b10";""
"Mapk9";"Tex264";"chr19:6891117-6891594_R";""
"Ywhaz";"chr1:139713316-139913366_R";"Prtn3";""
"Pde9a";"chr14:26834450-26847000_F";"Apol7a";""
"Ifi27l2b";"Gm1943";"chr1:71939741-71947891_F";""
"Tomm40";"ENSMUST00000096862";"Scd3";""
"Dkk3";"Crip1";"Clec11a";""
"chr14:55433382-55452757_F";"chr14:79248990-79315446_F";"chr9:27148989-27155714_F";""
"Mapk1";"A_55_P2157159";"chr10:120116843-120182671_R";""
"Dnajc24";"chr3:40439525-40509975_F";"Il1r1";""
"Pgls";"Rnf125";"Fam59a";""
"Bag1";"Tmem208";"Crybb3";""
"2310028H24Rik";"Pvrl1";"Ces2c";""
"Zfyve27";"chr6:54591416-54597566_R";"Gpam";""
"Rrbp1";"Mrps34";"chr3:51890691-51891781_R";""
"Tmem131";"Creld2";"Pros1";""
"chr4:59306575-59317850_R";"Mgl2";"Hp";""
"Mdh1";"Scp2";"Cadm4";""
"Rab5b";"Tmem65";"Pvrl2";""
"chr6:131263850-131314850_F";"NAP068989-1";"chr8:119732348-119749198_F";""
"Alg14";"chrX:18734106-18744367_R";"Lipa";""
"Frzb";"Htr1d";"4930525G20Rik";""
"Faf1";"Ropn1l";"St6gal1";""
"BC020535";"Herc6";"Olfr740";""
"Fbxl14";"Asb7";"Mrpl49";""
"Myom2";"chr17:3213918-3257944_F";"Gm1673";""
"Vmn2r3";"Ormdl2";"TC1688431";""
"4932439E07Rik";"chr2:143991240-143991597_F";"Qsox1";""
"Atp11b";"chr17:39980973-39981876_R";"Rpl10";""
"chr14:22267795-22319045_F";"Haus7";"NAP062849-1";""
"Ovca2";"chr4:138657728-138687028_R";"chr1:141824450-141835125_F";""
"Wdr24";"A_55_P2157838";"Zfp385b";""
"D230025D16Rik";"Trpm4";"chr16:44717531-44724206_R";""
"Stard6";"Greb1l";"Lactb2";""
"Dus3l";"Gstm4";"chr7:128341797-128414692_R";""
"Csn3";"chr14:99728359-99728958_F";"Tshz2";""
"chr6:86425510-86450160_R";"Gm13370";"Ctsc";""
"Mrpl24";"Ighv14-2";"AA684185";""
"Tfrc";"Slc9a8";"chr13:65610375-65634500_F";""
"chr3:18521534-18522194_R";"Zyg11a";"Ppia";""
"Soat1";"chr13:34872696-34906407_R";"chr13:65716675-65765575_F";""
"chr15:102920547-102933472_R";"chr18:84735774-84760824_F";"Krtap11-1";""
"chr18:46651944-46652663_R";"chr17:3206316-3208050_F";"Tmem176a";""
"Teddm1";"Nudt18";"Aldh7a1";""
"chr14:26834450-26847000_F";"chr10:6480075-6603900_F";"Ankrd2";""
"Gm1943";"Stra13";"Lbp";""
"Crtc3";"Isg15";"Cycs";""
"ENSMUST00000096862";"chr14:28231577-28242027_R";"chr1:71984564-71985074_R";""
"Crip1";"Ube2j2";"Lsm6";""
"chr14:79248990-79315446_F";"Colec12";"";""
"chr3:40439525-40509975_F";"Masp1";"";""
"Lancl2";"Syngr4";"";""
"Rnf125";"chr19:5771425-5848475_F";"";""
"Tmem208";"ENSMUST00000098874";"";""
"Pvrl1";"Actc1";"";""
"chr6:54591416-54597566_R";"NAP063195-1";"";""
"chr16:23992037-24001037_F";"Plk1";"";""
"TC1673592";"Keg1";"";""
"Mrps34";"chr9:13349094-13352732_F";"";""
"Creld2";"Eci3";"";""
"Scp2";"Btbd2";"";""
"Tmem65";"Nme7";"";""
"NAP068989-1";"Klk1b26";"";""
"chrX:18734106-18744367_R";"C330019G07Rik";"";""
"Htr1d";"Gm129";"";""
"Ropn1l";"Hecw1";"";""
"Herc6";"Fxc1";"";""
"Asb7";"Fxyd7";"";""
"chr17:3213918-3257944_F";"Pcm1";"";""
"Ormdl2";"Efcab4a";"";""
"Rbmx2";"Dnajc19";"";""
"chr17:39980973-39981876_R";"Nudt7";"";""
"1700010I14Rik";"Sav1";"";""
"Rab4a";"Lrrc14b";"";""
"chr4:138657728-138687028_R";"Fam82a1";"";""
"Greb1l";"chr5:111565658-111566257_F";"";""
